ܚܢ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܚܰܢ,ܐܶܬܚܶܢܢ,ܚܰܢܶܢ,ܐܶܬܚܰܢܰܢ,ܐܰܚܶܢ,ܐܶܬܬܰܚܰܢ
perfect,3FS,ܚܶܢܰܬ,ܐܶܬܚܰܢܢܰܬ,ܚܰܢܢܰܬ,ܐܶܬܚܰܢܢܰܬ,ܐܰܚܢܰܬ,ܐܶܬܬܰܚܢܰܬ
perfect,2MS,ܚܰܢܬ,ܐܶܬܚܢܶܢܬ,ܚܰܢܶܢܬ,ܐܶܬܚܰܢܰܢܬ,ܐܰܚܶܢܬ,ܐܶܬܬܰܚܰܢܬ
perfect,2FS,ܚܰܢܬܝ,ܐܶܬܚܢܶܢܬܝ,ܚܰܢܶܢܬܝ,ܐܶܬܚܰܢܰܢܬܝ,ܐܰܚܶܢܬܝ,ܐܶܬܬܰܚܢܬܝ
perfect,1CS,ܚܶܢܶܬ,ܐܶܬܚܰܢܢܶܬ,ܚܰܢܢܶܬ,ܐܶܬܚܰܢܢܶܬ,ܐܰܚܢܶܬ,ܐܶܬܬܰܚܢܶܬ
perfect,3MP,ܚܰܢܘ,ܐܶܬܚܢܶܢܘ,ܚܰܢܶܢܘ,ܐܶܬܚܰܢܰܢܘ,ܐܰܚܶܢܘ,ܐܶܬܬܰܚܰܢܘ
perfect,3FP,ܚܰܢ̈ܝ,ܐܶܬܚܢܶܢ̈ܝ,ܚܰܢܶܢ̈ܝ,ܐܶܬܚܰܢܰܢ̈ܝ,ܐܰܚܶܢ̈ܝ,ܐܶܬܬܰܚܰܢ̈ܝ
perfect,2MP,ܚܰܢܬܽܘܢ,ܐܶܬܚܢܶܢܬܽܘܢ,ܚܰܢܶܢܬܽܘܢ,ܐܶܬܚܰܢܰܢܬܽܘܢ,ܐܰܚܶܢܬܽܘܢ,ܐܶܬܬܰܚܰܢܬܽܘܢ
perfect,2FP,ܚܰܢܬ̈ܶܝܢ,ܐܶܬܚܢܶܢ̈ܬܶܝܢ,ܚܰܢܶܢܬ̈ܶܝܢ,ܐܶܬܚܰܢܰܢ̈ܬܶܝܢ,ܐܰܚܶܢܬ̈ܶܝܢ,ܐܶܬܬܰܚܰܢ̈ܬܶܝܢ
