ܟܣ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܟܰܣ,ܐܶܬܟܣܶܣ,ܟܰܣܶܣ,ܐܶܬܟܰܣܰܣ,ܐܰܟܶܣ,ܐܶܬܬܰܟܰܣ
perfect,3FS,ܟܶܣܰܬ,ܐܶܬܟܰܣܣܰܬ,ܟܰܣܣܰܬ,ܐܶܬܟܰܣܣܰܬ,ܐܰܟܣܰܬ,ܐܶܬܬܰܟܣܰܬ
perfect,2MS,ܟܰܣܬ,ܐܶܬܟܣܶܣܬ,ܟܰܣܶܣܬ,ܐܶܬܟܰܣܰܣܬ,ܐܰܟܶܣܬ,ܐܶܬܬܰܟܰܣܬ
perfect,2FS,ܟܰܣܬܝ,ܐܶܬܟܣܶܣܬܝ,ܟܰܣܶܣܬܝ,ܐܶܬܟܰܣܰܣܬܝ,ܐܰܟܶܣܬܝ,ܐܶܬܬܰܟܣܬܝ
perfect,1CS,ܟܶܣܶܬ,ܐܶܬܟܰܣܣܶܬ,ܟܰܣܣܶܬ,ܐܶܬܟܰܣܣܶܬ,ܐܰܟܣܶܬ,ܐܶܬܬܰܟܣܶܬ
perfect,3MP,ܟܰܣܘ,ܐܶܬܟܣܶܣܘ,ܟܰܣܶܣܘ,ܐܶܬܟܰܣܰܣܘ,ܐܰܟܶܣܘ,ܐܶܬܬܰܟܰܣܘ
perfect,3FP,ܟܰܣ̈ܝ,ܐܶܬܟܣܶܣ̈ܝ,ܟܰܣܶܣ̈ܝ,ܐܶܬܟܰܣܰܣ̈ܝ,ܐܰܟܶܣ̈ܝ,ܐܶܬܬܰܟܰܣ̈ܝ
perfect,2MP,ܟܰܣܬܽܘܢ,ܐܶܬܟܣܶܣܬܽܘܢ,ܟܰܣܶܣܬܽܘܢ,ܐܶܬܟܰܣܰܣܬܽܘܢ,ܐܰܟܶܣܬܽܘܢ,ܐܶܬܬܰܟܰܣܬܽܘܢ
perfect,2FP,ܟܰܣܬ̈ܶܝܢ,ܐܶܬܟܣܶܣ̈ܬܶܝܢ,ܟܰܣܶܣܬ̈ܶܝܢ,ܐܶܬܟܰܣܰܣ̈ܬܶܝܢ,ܐܰܟܶܣܬ̈ܶܝܢ,ܐܶܬܬܰܟܰܣ̈ܬܶܝܢ
perfect,1CP,ܟܰܣܢ,ܐܶܬܟܣܶܣܢ,ܟܰܣܶܣܢ,ܐܶܬܟܰܣܰܣܢ,ܐܰܟܶܣܢ,ܐܶܬܬܰܟܰܣܢ
imperfect,3MS,ܢܶܟܽܘܣ,ܢܶܬܟܣܶܣ,ܢܟܰܣܶܣ,ܢܶܬܟܰܣܰܣ,ܢܰܟܶܣ,ܢܶܬܬܰܟܰܣ
imperfect,3FS,ܬܶܟܽܘܣ,ܬܶܬܟܣܶܣ,ܬܟܰܣܶܣ,ܬܶܬܟܰܣܰܣ,ܬܰܟܶܣ,ܬܶܬܬܰܟܰܣܝ
imperfect,2MS,ܬܶܟܽܘܣ,ܬܶܬܟܣܶܣ,ܬܟܰܣܶܣ,ܬܶܬܟܰܣܰܣ,ܬܰܟܶܣ,ܬܶܬܬܰܟܰܣ
imperfect,2FS,ܬܶܟܣܺܝܢ,ܬܶܬܟܰܣܣܺܝܢ,ܬܟܰܣܣܺܝܢ,ܬܶܬܟܰܣܣܺܝܢ,ܬܰܟܣܺܝܢ,ܬܶܬܬܰܟܰܣܺܝܢ
imperfect,1CS,ܐܶܟܽܘܣ,ܐܶܬܟܣܶܣ,ܐܶܟܰܣܶܣ,ܐܶܬܟܰܣܰܣ,ܐܰܟܶܣ,ܐܶܬܬܰܟܰܣ
imperfect,3MP,ܢܶܟܣܽܘܢ,ܢܶܬܟܰܣܣܽܘܢ,ܢܟܰܣܣܽܘܢ,ܢܶܬܟܰܣܣܽܘܢ,ܢܰܟܣܽܘܢ,ܢܶܬܬܰܟܣܽܘܢ
imperfect,3FP,ܢܶܟ̈ܣܳܢ,ܢܶܬܟܰܣܣ̈ܳܢ,ܢܟܰܣܣ̈ܳܢ,ܢܶܬܟܰܣܣ̈ܳܢ,ܢܰܟܣ̈ܳܢ,ܢܶܬܬܰܟܣ̈ܳܢ
