verb type,stem,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
I’nun,ܢܦܩ,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
I’nun,ܢܣܒ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
I’nun,ܢܦܠ,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
I’nun,ܢܚܬ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
I’nun,ܢܓܕ,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
I’nun,ܢܛܪ,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
I’nun,ܢܣܟ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I’nun,ܢܗܪ,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
I’nun,ܢܩܦ,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
I’nun,ܢܩܫ,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
I’alaph,ܐܙܠ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I’alaph,ܐܚܕ,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
I’alaph,ܐܠܨ,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
I’alaph,ܐܟܠ,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
I’alaph,ܐܒܕ,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
I’alaph,ܐܡܪ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
I’alaph,ܐܒܠ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I’alaph,ܐܫܕ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
I’alaph,ܐܣܪ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
I’yod,ܝܬܪ,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
I’yod,ܝܩܕ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
I’yod,ܝܠܦ,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
I’yod,ܝܨܦ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
